Distance,Use intermediate result,Flow,Angle adjustment,Left tol1,Left tol2,Left tol3,Left tol4,Left tol5,Left DEM,Right tol1,Right tol2,Roght tol3,Right tol4,Right tol5,Right DEM
17.9,0,340.975135,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
18,0,340.9722861,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
18.1,0,340.9697998,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
18.2,0,340.9685308,0,6.48,0.35,0.0605,1000,30,A,7.2,0.9,0.055,1000,30,A
18.3,0,340.9654229,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
18.4,0,340.963351,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
18.5,0,340.9596993,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
18.6,0,340.9585856,0,8,2,0.05,1000,30,A,6.48,0.35,0.0605,1000,30,A
18.7,0,340.9559698,0,7.2,0.9,0.055,1000,30,A,6.48,0.35,0.0605,1000,30,A
18.8,0,340.952603,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
18.9,0,340.9507382,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
19,0,340.9493656,0,8,2,0.05,1000,30,A,6.48,0.35,0.0605,1000,30,A
19.1,0,340.9449628,0,8,2,0.05,1000,30,A,6.48,0.35,0.0605,1000,30,A
19.2,0,340.9425801,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
19.3,0,340.9405082,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
19.4,0,340.9386694,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
19.5,0,340.9357946,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
19.6,0,340.9326608,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
19.7,0,340.9306666,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
19.8,0,340.9283616,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
19.9,0,340.9266782,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
20,0,340.9243732,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
20.1,0,340.9220164,0,8,2,0.05,1000,30,A,8.748,0.2,0.06655,2000,30,A
20.2,0,340.9204365,0,8,2,0.05,1000,30,A,7.8732,0,0.073205,2000,30,A
20.3,0,335.7248844,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
20.4,0,335.7233045,0,8,2,0.05,1000,30,A,6.48,0.35,0.0605,1000,30,A
20.5,0,335.7203262,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
20.6,0,335.7189276,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
20.7,0,335.717814,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
20.8,0,335.7154831,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
20.9,0,335.7131263,0,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
21,0,335.7104328,0,6.48,0.35,0.0605,1000,30,A,7.2,0.9,0.055,1000,30,A
21.1,0,335.7088789,0,6.48,0.35,0.0605,1000,30,A,7.2,0.9,0.055,1000,30,A
21.2,0,335.7063149,0,6.48,0.35,0.0605,1000,30,A,7.2,0.9,0.055,1000,30,A
21.3,0,335.7046832,0,6.48,0.35,0.0605,1000,30,A,7.2,0.9,0.055,1000,30,A
21.4,0,335.6983121,13.55251831,6.48,0.35,0.0605,1000,30,A,7.2,0.9,0.055,1000,30,A
21.5,0,335.6966287,-12.25697874,7.2,0.9,0.055,1000,30,A,7.2,0.9,0.055,1000,30,A
21.6,0,335.6944014,0,4,1,1,1000,30,A,7.2,0.9,0.055,1000,30,A
21.7,0,335.6926661,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
21.8,0,335.6905424,0,5.832,0.075,0.06655,1000,30,A,8,2,0.05,1000,30,A
21.9,0,335.6895324,0,4,1,1,1000,30,A,8,2,0.05,1000,30,A
22,0,335.6871238,0,4,1,1,1000,30,A,8,2,0.05,1000,30,A
22.1,0,335.6844044,0,4,1,1,2000,30,A,8,2,0.05,1000,30,A
22.2,0,335.6830059,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
22.3,0,335.6793541,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
22.4,0,335.6774635,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
22.5,0,335.6753398,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
22.6,0,335.6723873,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
22.7,0,335.6700046,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
22.8,0,335.6682176,0,4,1,1,1000,30,A,8,2,0.05,1000,30,A
22.9,0,335.6669226,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
23,0,335.661976,0,7.2,0.9,0.055,1000,30,A,4,1,1,1000,30,A
23.1,0,335.660681,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
23.2,0,335.6586868,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
23.3,0,335.6553458,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
23.4,0,335.6541545,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
23.5,0,335.6506322,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
23.6,0,335.6490265,-2.885799529,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
23.7,0,335.6463589,2.752180896,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
23.8,0,335.6442093,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
23.9,0,335.6426295,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
24,0,335.6406871,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
24.1,0,335.6357663,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
24.2,0,335.6341605,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
24.3,0,335.6316742,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
24.4,0,335.6299908,0,8,2,0.05,1000,30,B,8,2,0.05,1000,30,A
24.5,0,335.6281261,0,8,2,0.05,1000,30,B,8,2,0.05,1000,30,A
24.6,0,335.6253031,0,8,2,0.05,1000,30,B,8,2,0.05,1000,30,A
24.7,0,335.6226873,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
24.8,0,335.6209262,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
24.9,0,335.6171709,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
25,0,335.6151766,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
25.1,0,335.6139335,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
25.2,0,335.6126645,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
25.3,0,335.6093494,0,8,2,0.05,1000,30,A,6.48,0.35,0.0605,1000,30,A
25.4,0,335.6075883,0,8,2,0.05,1000,30,A,7.2,0.9,0.055,1000,30,A
25.5,0,335.6035221,0,8,2,0.05,1000,30,A,5.832,0.075,0.06655,1000,30,A
25.6,0,335.6023308,0,8,2,0.05,1000,30,A,5.832,0.075,0.06655,1000,30,A
25.7,0,335.5999999,0,7.2,0.9,0.055,1000,30,A,5.2488,0,0.073205,1000,30,A
25.8,0,335.5982906,0,8,2,0.05,1000,30,A,5.7395628,0.1,0.097435855,2000,30,A
25.9,0,335.5969438,0,8,2,0.05,1000,30,A,6.48,0.35,0.0605,1000,30,A
26,0,335.5894331,0,4,1,1,1000,30,A,6.48,0.35,0.0605,1000,30,A
26.1,0,335.5880605,0,7.2,0.9,0.055,1000,30,A,6.48,0.35,0.0605,1000,30,A
26.2,0,335.5852893,0,8,2,0.05,1000,30,A,6.48,0.35,0.0605,1000,30,A
26.3,0,335.5835541,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
26.4,0,335.581534,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
26.5,0,335.5801354,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
26.6,0,335.5749816,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
26.7,0,335.5718996,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
26.8,0,335.5681183,0,4,1,1,1000,30,A,8,2,0.05,1000,30,A
26.9,0,335.5665385,0,4,1,1,1000,30,A,8,2,0.05,1000,30,A
27,0,335.5635342,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
27.1,0,335.5615659,0,7.2,0.9,0.055,1000,30,A,8,2,0.05,1000,30,A
27.2,0,302.33201,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
27.3,0,302.3284618,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
27.4,0,302.3241367,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
27.5,0,302.3223756,0,6.48,0.35,0.0605,1000,30,A,8,2,0.05,1000,30,A
27.6,0,302.3209253,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
27.7,0,302.3189051,0,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
27.8,0,302.3154347,2.26069202,8,2,0.05,1000,30,A,8,2,0.05,1000,30,A
